activity_name,category
Tire manufacturing (except retreading),Plastics and Rubber Products
Cover plaster - mineral (market for cover plaster - mineral),Building Materials
Petroleum lubricating oil and grease manufacturing,Fuel
Animal farms and aquaculture ponds (except cattle and poultry),Livestock Farming
Compost derived from garden waste (Primary material production),Organic Products
Concrete - 70% ggbs cement replacement - with total cementitious content of 460 kg per m3 of concrete,Building Materials
Transparent board PMMA extruded,Plastics and Rubber Products
Mox fuel element - for light water reactor (market for MOX fuel element - for light water reactor),Chemical Products
Concrete RC32/40 with CEM I cement,Building Materials
Administrative management and general management consulting services,Professional Services and Activities
Compressed air - 1200 kpa gauge (market for compressed air - 1200 kPa gauge),Chemical Products
Ferrochromium - high-carbon - 68% cr (market for ferrochromium - high-carbon - 68% Cr),Metals
Paints and coatings,Furnishings and Household
Asparagus,Arable Farming
Graphite (market for graphite),Mined Materials
Natural gas reforming hydrogen with carbon capture/use and storage,Fuel
Bottom ash MSWI scrap tin sheet (market for bottom ash MSWI scrap tin sheet),Waste Management
Foam glass (market for foam glass),Building Materials
Surgical and medical instruments,Health Care
Milking (market for milking),Livestock Farming
Oxygen - liquid (market for oxygen - liquid),Chemical Products
Ice cream PP tub with LDPE lid,Food/Beverages/Tobacco
Promoters of performing arts/sports and similar events with facilities,Recreation and Culture
Industrial buildings (except mine buildings),Real Estate
Lightweight concrete block from 100% natural pumice,Building Materials
Triazine-compound - unspecified (market for triazine-compound - unspecified),Chemical Products
Wood window and door manufacturing,Furnishings and Household
Esterquat (market for esterquat),Chemical Products
Medical / dental and personal safety supplies / instruments and equipment,Health Care
Steel - Organic coated sheet,Metals
Tellurium - semiconductor-grade (market for tellurium - semiconductor-grade),Metals
Forged and stamped metal products,Fabricated Metal Products
Helium - crude stockpiling (market for helium - crude stockpiling),Chemical Products
Other personal care products,Personal Care and Accessories
Civic and social organizations,Operational Activities
Silicon - solar grade (market for silicon - solar grade),Chemical Products
Jatropha seed (market for jatropha seed),Arable Farming
Cement - blast furnace slag 18-30% and 18-30% other alternative constituents (market for cement - blast furnace slag 18-30% and 18-30% other alternative constituents),Building Materials
Cobalt (market for cobalt),Metals
Pomegranate (market for pomegranate),Arable Farming
Agricultural machinery - unspecified (market for agricultural machinery - unspecified),Machinery
Battery cell - li-ion (market for battery cell - Li-ion),Electronics
Unwrought copper including alloys,Metals
Ceramic tile (market for ceramic tile),Mined Materials
Mobile phone,Electronics
Miscellaneous printed matter,Paper Products
Photovoltaic slanted-roof installation - 3kwp - cis - panel - mounted - on roof (market for photovoltaic slanted-roof installation - 3kWp - CIS - panel - mounted - on roof),Construction
Sweet potatoes,Arable Farming
Heat and power co-generation unit - 500kw electrical - common components for heat+electricity (market for heat and power co-generation unit - 500kW electrical - common components for heat+electricity),Construction
Hotel stay (4 star),Accommodation
Cable - unspecified (market for cable - unspecified),Electronics
Concrete - 70% ggbs cement replacement - with total cementitious content of 120 kg per m3 of concrete,Building Materials
Aluminium - powders / flakes,Metals
Air compressor - screw-type compressor - 300kw (market for air compressor - screw-type compressor - 300kW),Electrical Equipment
Timber - Wood-plastic composite - No Carbon Storage,Timber and Forestry Products
Butene - mixed (market for butene - mixed),Fuel
Steel - welded pipe,Metals
Hay - swiss integrated production - extensive (market for hay - Swiss integrated production - extensive),Arable Farming
Maintenance - intermodal shipping container - 40-foot (market for maintenance - intermodal shipping container - 40-foot),Vehicles
Rubber and plastic products,Plastics and Rubber Products
Individual and family services,Social Care
Confectionery merchant wholesalers,Wholesale Trade
Hotel stay (3 star),Accommodation
Catalytic converter - oxidation - 20 litre (market for catalytic converter - oxidation - 20 litre),Machinery
Well drilling,Mining
Major durables for outdoor recreation,Recreation and Culture
Plastic resins,Plastics and Rubber Products
Pharmaceutical preparation manufacturing,Health Care
M-nitrotoluene (market for m-nitrotoluene),Chemical Products
Wind turbine - 2mw - onshore (market for wind turbine - 2MW - onshore),Construction
Continuous dyeing - fibre - cotton (market for continuous dyeing - fibre - cotton),Textiles
Sawlog and veneer log - azobe - measured as solid wood under bark (market for sawlog and veneer log - azobe - measured as solid wood under bark),Timber and Forestry Products
Containerboard - fluting medium (market for containerboard - fluting medium),Paper and Cardboard
Motor vehicle and motor vehicle parts and supplies,Wholesale Trade
Industrial machine - heavy - unspecified (market for industrial machine - heavy - unspecified),Machinery
Wood logs,Fuel
Sound recording,Recreation and Culture
Bitumen adhesive compound - hot (market for bitumen adhesive compound - hot),Building Materials
Aluminium scrap - post-consumer (market for aluminium scrap - post-consumer),Waste Management
Residues MSWI[F]-WWT-SLF municipal solid waste (market for residues MSWI[F]-WWT-SLF municipal solid waste),Waste Management
Building - luxury hotel (market for building - luxury hotel),Construction
Mandarin - processing grade (market for mandarin - processing grade),Arable Farming
Glass and glazing contractors,Construction
Ammunition/arms/ordnance and related accessories,Fabricated Metal Products
Paper mill - integrated (market for paper mill - integrated),Construction
Lessors of nonfinancial intangible assets (except copyrighted works),Professional Services and Activities
Sewage sludge 97% water WWT WW from hard fibreboard production (market for sewage sludge 97% water WWT WW from hard fibreboard production),Waste Management
Concrete - 40% pfa cement replacement - with total cementitious content of 380 kg per m3 of concrete,Building Materials
Kiwifruits LDPE bag,Food/Beverages/Tobacco
Heating and sanitary equipment - mini chp plant (market for heating and sanitary equipment - mini CHP plant),Electrical Equipment
Electric connector - peripheral component interconnect buss (market for electric connector - peripheral component interconnect buss),Electronics
Beauty salons,Personal Care and Accessories
Maintenance - stirling heat and power co-generation unit - 3kw electrical - wood pellet - future (market for maintenance - stirling heat and power co-generation unit - 3kW electrical - wood pellet - future),Maintenance and Repair
Cabbage white (market for cabbage white),Arable Farming
Residues MSWI waste polyvinylchloride (market for residues MSWI waste polyvinylchloride),Waste Management
Napropamide (market for napropamide),Chemical Products
Other vegetables,Arable Farming
Finishing - textile - knit cotton (market for finishing - textile - knit cotton),Textiles
Small arms/ordnance and ordnance accessories manufacturing,Fabricated Metal Products
Sodium silicate - without water - in 37% solution state (market for sodium silicate - without water - in 37% solution state),Chemical Products
Used beverage cans (market for used beverage cans),Waste Management
Seal - natural rubber based (market for seal - natural rubber based),Chemical Products
Metal working - average for metal product manufacturing (market for metal working - average for metal product manufacturing),Metals
Protein pea (market for protein pea),Arable Farming
Sewage sludge 75% water WWT WW from pig iron production (market for sewage sludge 75% water WWT WW from pig iron production),Waste Management
Aircraft - belly freight - medium haul (market for aircraft - belly freight - medium haul),Vehicles
Carbon fibre reinforced plastic - injection moulded (market for carbon fibre reinforced plastic - injection moulded),Chemical Products
Laptop 14 inches,Electronics
Fruit and vegetable canning,Food/Beverages/Tobacco
Cement type IS (market for cement type IS),Building Materials
Air input/output unit - heat and power co-generation unit - 160kw electrical (market for air input/output unit - heat and power co-generation unit - 160kW electrical),Electrical Equipment
Breakfast cereals,Food/Beverages/Tobacco
Tea cabinet,Furnishings and Household
Diesel-electric generating set - 10mw (market for diesel-electric generating set - 10MW),Machinery
Carboxymethyl cellulose - powder (market for carboxymethyl cellulose - powder),Chemical Products
Investigation and security,Professional Services and Activities
Concrete RC25/30 with 25% GGBS cement,Building Materials
Bottom ash MSWI-WWT WW from LCD production (market for bottom ash MSWI-WWT WW from LCD production),Waste Management
Woodchip boiler 20-120kW,Electrical Equipment
Trawler - steel (market for trawler - steel),Machinery
Direct property and casualty insurance carriers,Insurance Services
Tortilla manufacturing,Food/Beverages/Tobacco
Cookstove (market for cookstove),Electrical Equipment
Average plastic rigid (open-loop recycled source),Plastics and Rubber Products
Photographic equipment and supplies merchant wholesalers,Wholesale Trade
Lime manufacturing,Other Materials
Bottom ash MSWI[F] waste cement-fibre slab dismantled (market for bottom ash MSWI[F] waste cement-fibre slab dismantled),Waste Management
Copper telluride cement (market for copper telluride cement),Metals
Process-specific burdens - hazardous waste incineration plant (market for process-specific burdens - hazardous waste incineration plant),Waste Management
Concrete block and brick manufacturing,Building Materials
Leather and leather products,Clothing and Footwear
Residues MSWI-WWT-SLF[W] waste plastic consumer electronics (market for residues MSWI-WWT-SLF[W] waste plastic consumer electronics),Waste Management
Oriented strand board (OSB),Timber and Forestry Products
Other educational services,Education
Furnace - wood chips - with silo - 300kw (market for furnace - wood chips - with silo - 300kW),Machinery
Commercial banking,Financial Services
Evaporation of milk (market for evaporation of milk),Livestock Farming
Unwrought precious metals including alloys,Metals
Industrial building construction,Construction
Nitrous oxide (market for nitrous oxide),Chemical Products
Motion picture theaters (except drive-ins),Recreation and Culture
Concrete - 50% ggbs cement replacement - with total cementitious content of 360 kg per m3 of concrete,Building Materials
Other metal container manufacturing,Fabricated Metal Products
Professional and commercial equipment and supplies,Wholesale Trade
Residues MSWI LDPE in waste fresh milk carton (chilled) post-industrial (market for residues MSWI LDPE in waste fresh milk carton (chilled) post-industrial),Waste Management
Motion picture and video distribution,Recreation and Culture
Oats (oatmeal),Arable Farming
Feldspar (market for feldspar),Mined Materials
Aluminium removed by turning - average - conventional (market for aluminium removed by turning - average - conventional),Metals
Steel removed by turning - primarily roughing - computer numerical controlled (market for steel removed by turning - primarily roughing - computer numerical controlled),Metals
Bottom ash MSWI lead in car shredder residue (market for bottom ash MSWI lead in car shredder residue),Waste Management
Salt/spices/culinary herbs and other condiments,Food/Beverages/Tobacco
Office furniture,Furnishings and Household
Cement type ICo (market for cement type ICo),Building Materials
Disk drive - cd/dvd - rom - for desktop computer (market for disk drive - CD/DVD - ROM - for desktop computer),Electronics
Aluminium - household articles - other,Metals
Other nonmetallic mineral products,Plastics and Rubber Products
Liquefied natural gas LNG - Otto dual fuel - slow speed ship,Fuel
Dried sand,Building Materials
Concrete - average UK cement replacement rate - with total cementitious content of 240 kg per m3 of concrete,Building Materials
Impact extrusion of steel - warm - 2 strokes (market for impact extrusion of steel - warm - 2 strokes),Metals
Concrete RC32/40 with 70% GGBS cement,Building Materials
Plastic profile shapes,Plastics and Rubber Products
Timber - Open panel timber frame system - No Carbon Storage,Timber and Forestry Products
Phthalimide (market for phthalimide),Chemical Products
Turbines and turbine generator sets,Machinery
Benzoic-compound (market for benzoic-compound),Chemical Products
Gypsum - mineral (market for gypsum - mineral),Mined Materials
Natural water / water treatment and supply services,Waste Management
Photovoltaic facade installation - 3kwp - single-si - panel - mounted - at building (market for photovoltaic facade installation - 3kWp - single-Si - panel - mounted - at building),Construction
Impact extrusion of steel - warm - 1 strokes (market for impact extrusion of steel - warm - 1 strokes),Metals
Sesame seed (market for sesame seed),Arable Farming
Tanker - for liquid goods other than petroleum and liquefied natural gas (market for tanker - for liquid goods other than petroleum and liquefied natural gas),Vehicles
Citrus fruit,Arable Farming
Soybean farming,Arable Farming
Rice - basmati (market for rice - basmati),Arable Farming
Fish canning - small fish (market for fish canning - small fish),Fishing/Aquaculture/Hunting
Plaster mixing (market for plaster mixing),Building Materials
Hotel stay (2 star),Accommodation
Biomass gasification hydrogen,Fuel
Concrete - 50% ggbs cement replacement - with total cementitious content of 200 kg per m3 of concrete,Building Materials
Fresh / frozen and canned fruit and vegetable juices,Food/Beverages/Tobacco
Cafeterias/grill buffets and buffets,Food and Beverage Services
Support services for oil and gas extraction (except exploration),Mining
Bottom ash MSWI-WWT-SLF wood ash mixture pure (market for bottom ash MSWI-WWT-SLF wood ash mixture pure),Waste Management
Pig meat,Livestock Farming
Residues MSWI[F] residue from mechanical treatment CRT display (market for residues MSWI[F] residue from mechanical treatment CRT display),Waste Management
Newspapers,Recreation and Culture
Frozen fruit/juice and vegetable manufacturing,Food/Beverages/Tobacco
Footwear accessories and services,Clothing and Footwear
Holmium oxide (market for holmium oxide),Metals
E-cigarettes and refills,Food/Beverages/Tobacco
Thermal energy storage - for adiabatic compressed air energy storage (market for thermal energy storage - for adiabatic compressed air energy storage),Construction
Sewage sludge 97% water WWT-SLF waste glass (market for sewage sludge 97% water WWT-SLF waste glass),Waste Management
Electronic component - passive - unspecified (market for electronic component - passive - unspecified),Electronics
Prepared fish,Fishing/Aquaculture/Hunting
Colleges/universities/junior colleges and professional schools,Education
Textile - nonwoven polypropylene (market for textile - nonwoven polypropylene),Textiles
Libraries/museums and art,Recreation and Culture
Concrete PAV1 with 30% PFA cement,Building Materials
Rape oil - crude (market for rape oil - crude),Arable Farming
Mining support services,Mining
Bottom ash MSWI copper in car shredder residue (market for bottom ash MSWI copper in car shredder residue),Waste Management
Theater companies and dinner theaters,Recreation and Culture
Bottom ash MSWI[F] scrap steel (market for bottom ash MSWI[F] scrap steel),Waste Management
Computer/electronic and optical products,Electronics
Nylon part (PA 6.6),Plastics and Rubber Products
Gangue,Fuel
Other measuring and controlling device manufacturing,Electronics
Commercial air / rail and water transportation equipment rental and leasing,Equipment Rental
Methanol reforming hydrogen,Fuel
Lead sheets,Fabricated Metal Products
Zinc (market for zinc),Metals
Asphalt (Re-used),Building Materials
Polyol (market for polyol),Chemical Products
Hydrogen - gaseous (market for hydrogen - gaseous),Fuel
Wood preservation facility - flow coating equipment (market for wood preservation facility - flow coating equipment),Construction
Notebook - Lenovo ThinkPad E480/R480,Electronics
Crushed stone 16-32mm,Building Materials
Flax plant - harvested (market for flax plant - harvested),Arable Farming
Computer and office machine repair and maintenance,Equipment Repair
Beryllium (market for beryllium),Metals
Concrete RC25/30 with CEM I cement,Building Materials
Chicken,Livestock Farming
Wood chips - dry - measured as dry mass (market for wood chips - dry - measured as dry mass),Timber and Forestry Products
Propyl amine (market for propyl amine),Chemical Products
Concrete block - solid - medium density - average strength - 90 mm thickness - 440 mm length - 215 mm width,Building Materials
Sewage sludge 97% water WWT[R] WW from anaerobic digestion of whey (market for sewage sludge 97% water WWT[R] WW from anaerobic digestion of whey),Waste Management
Pipework for electric heat pump (water-water) 10kW,Construction
Air conditioning/refrigeration and warm air heating equipment,Machinery
Equipment hire services,Equipment Rental
Medical/dental and other health services,Health Care
Other nonferrous metal foundries (except die-casting),Metals
Dental laboratories,Health Care
Lanthanum-cerium oxide (market for lanthanum-cerium oxide),Mined Materials
Butyl acrylate (market for butyl acrylate),Chemical Products
Services auxiliary to financial services,Financial Services
Mineral wool pipe jacket,Building Materials
Leather and dressed furs,Textiles
Mortar or screed (1:4 cement:sand mix - Using average UK Cement Mix),Building Materials
Waste and scrap of glass,Glass and Glass Products
Potassium nitrate - industrial grade (market for potassium nitrate - industrial grade),Chemical Products
Lead concentrate (market for lead concentrate),Metals
Sewage sludge 75% water WWT[U] WW from lorry production (market for sewage sludge 75% water WWT[U] WW from lorry production),Waste Management
Chromium steel removed by turning - primarily roughing - conventional (market for chromium steel removed by turning - primarily roughing - conventional),Metals
Diborane (market for diborane),Chemical Products
Biodiesel - soy,Fuel
Bottom ash MSWI-WWT WW from GGBFS production (market for bottom ash MSWI-WWT WW from GGBFS production),Waste Management
Sport and performing arts event organization services,Recreation and Culture
Military armored vehicles and tanks,Vehicles
Smart device,Electronics
Bottom ash MSWI[F] waste wood pole chrome preserved (market for bottom ash MSWI[F] waste wood pole chrome preserved),Waste Management
Glued laminated timber - pur-glue (market for glued laminated timber - PUR-glue),Timber and Forestry Products
Timber - Average of all data - No Carbon Storage,Timber and Forestry Products
Isopropyl acetate (market for isopropyl acetate),Chemical Products
Glider - passenger car (market for glider - passenger car),Vehicle Parts
Vegetable oil - refined (market for vegetable oil - refined),Arable Farming
Industrial fuel oil,Fuel
Triphenyl phosphate (market for triphenyl phosphate),Chemical Products
Steel - electrogalvanized steel,Metals
Fresh pepper,Arable Farming
Support activities for metal mining,Mined Materials
Cotton breathable jacket,Clothing and Footwear
Light truck and utility vehicle manufacturing,Vehicles
Residues MSWI-WWT-SLF waste polypropylene (market for residues MSWI-WWT-SLF waste polypropylene),Waste Management
Sports and recreation instruction,Recreation and Culture
Home furnishing merchant wholesalers,Wholesale Trade
Concrete RC28/35 with 40% PFA cement,Building Materials
Lightweight concrete block - expanded perlite (market for lightweight concrete block - expanded perlite),Building Materials
Historical sites,Recreation and Culture
Concrete PAV1 with average UK additions cement,Building Materials
Cobalt oxide (market for cobalt oxide),Mined Materials
Fridges and freezers (Primary material production),Electrical Equipment
Bottom ash MSWI[F]-WWT heat carrier liquid 40% C3H8O2 (market for bottom ash MSWI[F]-WWT heat carrier liquid 40% C3H8O2),Waste Management
Goat farming,Livestock Farming
Aluminium - Africa,Metals
Impact extrusion of steel - warm - 5 strokes (market for impact extrusion of steel - warm - 5 strokes),Metals
Deep drawing - steel - 3500 kn press - automode (market for deep drawing - steel - 3500 kN press - automode),Metals
Cereal grains (not elsewhere specified),Arable Farming
Phosphorus oxychloride (market for phosphorus oxychloride),Chemical Products
Hardwood veneer and plywood manufacturing,Furnishings and Household
Isobutyl acetate (market for isobutyl acetate),Chemical Products
Cocoons (market for cocoons),Livestock Farming
Packaging - for fertilisers or pesticides (market for packaging - for fertilisers or pesticides),Chemical Products
Sanitary paper product manufacturing,Paper Products
Fraction 8 from naphtha separation (market for fraction 8 from naphtha separation),Chemical Products
Sewage sludge 97% water WWT WW from medium density board production (market for sewage sludge 97% water WWT WW from medium density board production),Waste Management
Cement mortar,Building Materials
Mortar or screed (1:4 cement:sand mix - Using CEM I cement),Building Materials
Outdoor power equipment stores,DIY and Gardening Equipment
Aluminium scrap - new (market for aluminium scrap - new),Waste Management
Single-family residential structures,Construction
Asbestos chrysotile type (market for asbestos chrysotile type),Mined Materials
Cadmium sludge from zinc electrolysis (market for cadmium sludge from zinc electrolysis),Waste Management
Rubber and plastic belts and hoses,Plastics and Rubber Products
Bottom ash MSWI-WWT-SLF waste plastic plaster (market for bottom ash MSWI-WWT-SLF waste plastic plaster),Waste Management
Performances,Recreation and Culture
Concrete - 40% pfa cement replacement - with total cementitious content of 480 kg per m3 of concrete,Building Materials
Cement - Average UK additions,Building Materials
Bio Petrol,Fuel
Bottom ash MSWI[F]-WWT-SLF waste polystyrene (market for bottom ash MSWI[F]-WWT-SLF waste polystyrene),Waste Management
Other transport equipment,Vehicles
Waste and scrap of non-ferrous metals,Metals
Ordinary detergent,Furnishings and Household
Washing pumice,Mined Materials
Wood preservative - organic - outdoor use - no ground contact (market for wood preservative - organic - outdoor use - no ground contact),Chemical Products
Long liner maintenance - steel (market for long liner maintenance - steel),Maintenance and Repair
Sewage sludge 97% water WWT WW from pig iron production (market for sewage sludge 97% water WWT WW from pig iron production),Waste Management
Motor vehicles / motor vehicle parts and accessories - wholesale margins,Wholesale Trade
Cut and sew apparel contractors,Clothing and Footwear
All other pipeline transportation,Infrastructure
Newsprint mills,Paper Products
Optical brighteners - for paper production (market for optical brighteners - for paper production),Chemical Products
Synthetic gas (market for synthetic gas),Fuel
Household furniture (except wood and metal) manufacturing,Furnishings and Household
All other converted paper products,Paper Products
Concrete RC25/30 with 35% natural pozzolanic ash cement,Building Materials
Other oil and gas engineering works,Construction
Sawlog and veneer log - eucalyptus ssp. - measured as solid wood under bark (market for sawlog and veneer log - eucalyptus ssp. - measured as solid wood under bark),Timber and Forestry Products
Residues MSWI[F]-WWT-SLF waste polyethylene (market for residues MSWI[F]-WWT-SLF waste polyethylene),Waste Management
Concrete RC20/25 with 30% PFA cement,Building Materials
Phosphate rock - beneficiated (market for phosphate rock - beneficiated),Chemical Products
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 160 kg per m3 of concrete,Building Materials
Uranium - enriched 3.9% - per separative work unit (market for uranium - enriched 3.9% - per separative work unit),Chemical Products
Kraft paper (market for kraft paper),Paper and Cardboard
Acetic anhydride (market for acetic anhydride),Chemical Products
Rubber product manufacturing for mechanical use,Plastics and Rubber Products
Metal coatings/engravings and heat treatments,Fabricated Metal Products
Onshore natural gas field infrastructure (market for onshore natural gas field infrastructure),Construction
Barley grain - feed - swiss integrated production (market for barley grain - feed - Swiss integrated production),Arable Farming
Agricultural / lawn and garden machinery and equipment,Machinery
Wines,Food/Beverages/Tobacco
Concrete - 40% pfa cement replacement - with total cementitious content of 360 kg per m3 of concrete,Building Materials
Small arms ammunition manufacturing,Fabricated Metal Products
All other specialty trade contractors,Construction
Wastewater from soft fibreboard production (market for wastewater from soft fibreboard production),Water Treatment
Notebook - Lenovo ThinkPad E465,Electronics
Nuclear power plant - pressure water reactor - 650mw (market for nuclear power plant - pressure water reactor - 650MW),Construction
Pork,Livestock Farming
Resorcinol (market for resorcinol),Chemical Products
Concrete GEN 2 with 50% GGBS cement,Building Materials
Trichloromethane (market for trichloromethane),Chemical Products
Lettuce (market for lettuce),Arable Farming
Mixed cans (closed-loop recycled source),Fabricated Metal Products
Aggregates and sand - from secondary resources - bulk - loose,Building Materials
Scotch tape,Furnishings and Household
Used toner module - laser printer - black/white (market for used toner module - laser printer - black/white),Waste Management
Alkylketene dimer sizing agent - for paper production (market for alkylketene dimer sizing agent - for paper production),Chemical Products
Glass (open-loop recycled source),Glass and Glass Products
Aluminium melting furnace (market for aluminium melting furnace),Construction
Kerosene - for use as fuel in an aircraft - transport,Fuel
Cane sugar,Arable Farming
Clay plaster,Building Materials
Concrete RC40/50 with 40% PFA cement,Building Materials
Liquefied natural gas LNG - HPDI - heavy duty road,Fuel
Timber - Hardwood - Including Carbon Storage,Timber and Forestry Products
Ethoxylated alcohol (ae>20) (market for ethoxylated alcohol (AE>20)),Chemical Products
Museums,Recreation and Culture
Sewage sludge 97% water WWT-SLF scrap tin sheet (market for sewage sludge 97% water WWT-SLF scrap tin sheet),Waste Management
Cream,Food/Beverages/Tobacco
Plastic waste for treatment: landfill,Waste Management
Glucose (market for glucose),Chemical Products
Stainless steel - semi-finished ingots forgings,Metals
Bark (market for bark),Timber and Forestry Products
Dodecanol (market for dodecanol),Chemical Products
Hogs,Livestock Farming
Electric motors/generators and transformers,Electrical Equipment
Bottom ash MSWI[F] waste newspaper (market for bottom ash MSWI[F] waste newspaper),Waste Management
Pentane (market for pentane),Chemical Products
Guided missiles and space vehicles,Vehicles
Parking lots and garages,Domestic Services
Red kidney bean (market for red kidney bean),Arable Farming
Cumene (market for cumene),Chemical Products
Bisphenol a - powder (market for bisphenol A - powder),Chemical Products
Fishmeal - 63-65% protein (market for fishmeal - 63-65% protein),Fishing/Aquaculture/Hunting
Bottom ash MSWI[F] waste polyethylene (market for bottom ash MSWI[F] waste polyethylene),Waste Management
Photovoltaic slanted-roof installation - 3kwp - a-si - panel - mounted - on roof (market for photovoltaic slanted-roof installation - 3kWp - a-Si - panel - mounted - on roof),Construction
Solvent for chromatography analysis (market for solvent for chromatography analysis),Chemical Products
Tin dioxide (market for tin dioxide),Chemical Products
Pharmaceutical and medicinal products,Health Care
Aircraft agricultural (market for aircraft agricultural),Machinery
Uranium enrichment diffusion facility (market for uranium enrichment diffusion facility),Construction
Defence services,Government Activities
Continuing care retirement communities,Health Care
Newspapers,Paper Products
Raffinate (market for raffinate),Chemical Products
Concrete - average UK cement replacement rate - with total cementitious content of 440 kg per m3 of concrete,Building Materials
Title abstract and settlement offices,Professional Services and Activities
Glyoxal (market for glyoxal),Chemical Products
Sand-lime brick (market for sand-lime brick),Building Materials
Other heavy and civil engineering construction,Construction
Residues MSWI[F] waste rubber unspecified (market for residues MSWI[F] waste rubber unspecified),Waste Management
Concrete - average UK cement replacement rate - with total cementitious content of 480 kg per m3 of concrete,Building Materials
Industrial gases,Chemical Products
Cement - blast furnace slag 31-50% and 31-50% other alternative constituents (market for cement - blast furnace slag 31-50% and 31-50% other alternative constituents),Building Materials
Dolls / toys and games,Recreation and Culture
Computer systems design and related services (except software development),Information and Communication Services
Catalytic converter - three-way - 19.1l (market for catalytic converter - three-way - 19.1l),Machinery
Potassium perchlorate (market for potassium perchlorate),Chemical Products
Cyclohexanol (market for cyclohexanol),Chemical Products
Cement (CEM II/B),Building Materials
Steel - Tinplate,Metals
Aviation kerosene,Fuel
Yttrium oxide (market for yttrium oxide),Mined Materials
Furniture - wooden (market for furniture - wooden),Furnishings and Household
Carpets / rugs and mats,Textiles
Sorting facility - for construction waste (market for sorting facility - for construction waste),Construction
Expansion vessel - 25l (market for expansion vessel - 25l),Fabricated Metal Products
Construction / mining and forestry machinery and equipment rental and leasing,Equipment Rental
Toilet preparation manufacturing,Personal Care and Accessories
All other food and drinking places,Food and Beverage Services
Other used consumer goods,General Retail
Other aircraft parts and auxiliary equipment manufacturing,Vehicle Parts
Cement - pozzolana and fly ash 36-55% (market for cement - pozzolana and fly ash 36-55%),Building Materials
Gasoline 10% bioethanol blend,Fuel
All other consumer goods rental,Consumer Goods Rental
Bottom ash MSWI-WWT-SLF waste bitumen (market for bottom ash MSWI-WWT-SLF waste bitumen),Waste Management
Concrete - average UK cement replacement rate - with total cementitious content of 360 kg per m3 of concrete,Building Materials
Bottom ash MSWI[F]-WWT-SLF waste wood untreated (market for bottom ash MSWI[F]-WWT-SLF waste wood untreated),Waste Management
Bottled gas,Fuel
Phosphorus trichloride (market for phosphorus trichloride),Chemical Products
Other electronic and precision equipment repair and maintenance,Equipment Repair
Cement CEM II/B-M - 28% cement replacement- Portland-composite cement,Building Materials
Residues MSWI[F] residue from mechanical treatment laser printer (market for residues MSWI[F] residue from mechanical treatment laser printer),Waste Management
Nuclear spent fuel reprocessing facility (market for nuclear spent fuel reprocessing facility),Construction
Aluminium removed by milling - dressing (market for aluminium removed by milling - dressing),Metals
Employment placement agencies,Professional Services and Activities
Electric parts - mini chp plant (market for electric parts - mini CHP plant),Electrical Equipment
Router - internet (market for router - internet),Electronics
Magnesium for reuse in zirconium sponge production (market for magnesium for reuse in zirconium sponge production),Metals
Other services (not elsewhere specified),Organizational Activities
Mine infrastructure - treatment of sulfidic tailing - off-site - high gold content (market for mine infrastructure - treatment of sulfidic tailing - off-site - high gold content),Construction
Bovine meat (beef herd),Livestock Farming
Photovoltaic cell factory (market for photovoltaic cell factory),Construction
Polystyrene foam products,Plastics and Rubber Products
Azodicarbonamide (market for azodicarbonamide),Chemical Products
Heat and power co-generation unit - 50kw electrical - components for heat only (market for heat and power co-generation unit - 50kW electrical - components for heat only),Construction
Glass - Glazing triple - per kg,Glass and Glass Products
Audio and video equipment and unrecorded media,Electronics
Millet (market for millet),Arable Farming
Computer terminals and other computer peripheral equipment,Electronics
Sodium tetrahydridoborate (market for sodium tetrahydridoborate),Chemical Products
Business brochure,Paper Products
Aggregates and sand - from virgin land won resources - bulk - loose,Building Materials
Accounting / tax preparation / bookkeeping and payroll services,Financial Services
Anode - graphite - for lithium-ion battery (market for anode - graphite - for lithium-ion battery),Metals
Chlorine dioxide (market for chlorine dioxide),Chemical Products
Oil boiler - 100kw (market for oil boiler - 100kW),Machinery
Electric heat pump (brine-water geothermal probe) 70kW,Electrical Equipment
Sodium silver thiosulfate (market for sodium silver thiosulfate),Chemical Products
Impact extrusion of steel - cold - 2 strokes (market for impact extrusion of steel - cold - 2 strokes),Metals
Wood pellets,Fuel
Wheat,Arable Farming
Trimethyl borate (market for trimethyl borate),Chemical Products
Medium-density fiberboard,Timber and Forestry Products
Chlorosulfonic acid (market for chlorosulfonic acid),Chemical Products
All other support activities for transportation,Recreation and Culture
Carbon disulfide (market for carbon disulfide),Chemical Products
Kangaroo,Livestock Farming
Cannabis products (except seeds / plants and plant parts),Food/Beverages/Tobacco
Assembly of liquid crystal display - auxilliaries and energy use (market for assembly of liquid crystal display - auxilliaries and energy use),Electronics
Tobacco products,Food/Beverages/Tobacco
Notebook - Lenovo ThinkPad X13 Yoga Gen 2 13.3 inches,Electronics
Port facilities (market for port facilities),Construction
Stainless steel - flat-rolled <600mm hot-rolled,Metals
Fennel,Arable Farming
Metalworking machinery and industrial moulds,Machinery
Hydrogen fuel -alkaline electrolysis cells,Fuel
Sulfur (market for sulfur),Chemical Products
Broccoli (market for broccoli),Arable Farming
Anode refinery (market for anode refinery),Construction
Grass seed - swiss integrated production - for sowing (market for grass seed - Swiss integrated production - for sowing),Arable Farming
Forage products/fibres/sugar crops/unmanufactured tobacco,Agriculture/Hunting/Forestry/Fishing
